arena,arena_label,document_id,included,source_block,source_file,source_type
arxiv,arXiv (academic),arxiv_2010_1005.0957v1,1,,source\arxiv\2010\1005.0957v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1475v2,1,,source\arxiv\2010\1005.1475v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1518v4,1,,source\arxiv\2010\1005.1518v4.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1567v2,1,,source\arxiv\2010\1005.1567v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1684v12,1,,source\arxiv\2010\1005.1684v12.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1716v1,1,,source\arxiv\2010\1005.1716v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1860v2,1,,source\arxiv\2010\1005.1860v2.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1869v1,1,,source\arxiv\2010\1005.1869v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.1934v1,1,,source\arxiv\2010\1005.1934v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.2303v1,1,,source\arxiv\2010\1005.2303v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.2815v1,1,,source\arxiv\2010\1005.2815v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.3502v1,1,,source\arxiv\2010\1005.3502v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4025v1,1,,source\arxiv\2010\1005.4025v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4032v1,1,,source\arxiv\2010\1005.4032v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4159v3,1,,source\arxiv\2010\1005.4159v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4272v1,1,,source\arxiv\2010\1005.4272v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4298v1,1,,source\arxiv\2010\1005.4298v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4446v1,1,,source\arxiv\2010\1005.4446v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4447v1,1,,source\arxiv\2010\1005.4447v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4496v1,1,,source\arxiv\2010\1005.4496v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4540v3,1,,source\arxiv\2010\1005.4540v3.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4592v1,1,,source\arxiv\2010\1005.4592v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4963v1,1,,source\arxiv\2010\1005.4963v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.4989v1,1,,source\arxiv\2010\1005.4989v1.txt,arXiv paper
arxiv,arXiv (academic),arxiv_2010_1005.5114v1,1,,source\arxiv\2010\1005.5114v1.txt,arXiv paper
